# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1665527049.5466123,0,-2.1713318824768066,0.0,-2.079611301422119,0.0049145836383104324,-0.09663520008325577,,,,,,,,
1,1665527049.9537418,800,4.696937561035156,0.0,4.775871276855469,0.017411233857274055,-0.09634499251842499,,,,,,,,
2,1665527050.390376,1600,-5.14523983001709,0.0,-5.066695213317871,0.01829081028699875,-0.09683564305305481,,,,,,,,
3,1665527050.767044,2400,2.1021575927734375,0.0,2.1946604251861572,0.0038447966799139977,-0.09634756296873093,,,,,,,,
4,1665527051.128378,3200,-0.7256385087966919,0.0,-0.6297950744628906,0.0006810020422562957,-0.09652441740036011,,,,,,,,
5,1665527051.5011203,4000,3.1116526126861572,0.0,3.064072847366333,0.1440817415714264,-0.09650208801031113,,,,,,,,
6,1665527052.1121354,4800,-6.05368709564209,0.0,-5.986790657043457,0.0289340578019619,-0.0958302840590477,,,,,,,,
7,1665527052.7525768,5600,4.0526814460754395,0.0,4.135455131530762,0.013845299370586872,-0.09661936014890671,,,,,,,,
8,1665527053.3585687,6400,-2.7630300521850586,0.0,-2.6728549003601074,0.0061739543452858925,-0.09634898602962494,,,,,,,,
9,1665527053.960108,7200,1.3923698663711548,0.0,1.4865102767944336,0.0024079252034425735,-0.09654834121465683,,,,,,,,
10,1665527054.6868503,8000,-0.9712864756584167,0.0,-0.8758536577224731,0.0010502031072974205,-0.09648298472166061,,,,,,,,
11,1665527055.4920661,8800,0.4673127233982086,0.0,0.5630937218666077,0.0007429792312905192,-0.09652397036552429,,,,,,,,
12,1665527056.2247937,9600,2.622121810913086,0.0,2.618957757949829,0.09973932802677155,-0.09657514095306396,,,,,,,,
13,1665527056.8390286,10400,-4.745395183563232,0.0,-4.666110038757324,0.016951482743024826,-0.09623686969280243,,,,,,,,
14,1665527057.4453332,11200,3.6865479946136475,0.0,3.77178692817688,0.01063849963247776,-0.0958774983882904,,,,,,,,
15,1665527058.09885,12000,-4.6859235763549805,0.0,-4.609067916870117,0.019518082961440086,-0.09637365490198135,,,,,,,,
16,1665527058.7215385,12800,4.483989238739014,0.0,4.559535503387451,0.020476872101426125,-0.09602301567792892,,,,,,,,
17,1665527059.5701118,13600,2.6371448040008545,0.0,2.4187333583831787,0.3149133622646332,-0.09650184959173203,,,,,,,,
18,1665527060.3348126,14400,-6.842103481292725,0.0,-6.7911834716796875,0.04595218226313591,-0.09687235206365585,,,,,,,,
19,1665527061.0575888,15200,6.173736572265625,0.0,6.231070041656494,0.039540328085422516,-0.09687383472919464,,,,,,,,
20,1665527061.6728637,16000,-5.556658744812012,0.0,-5.4904255867004395,0.030461953952908516,-0.09669473767280579,,,,,,,,
21,1665527062.456912,16800,9.135357856750488,0.0,8.801685333251953,0.43010538816452026,-0.09643303602933884,,,,,,,,
22,1665527063.0258367,17600,-3.273514747619629,0.0,-3.3612236976623535,0.18385232985019684,-0.09614358097314835,,,,,,,,
23,1665527063.2896101,18400,-2.0414013862609863,0.0,-1.948624610900879,0.0034858279395848513,-0.09626256674528122,,,,,,,,
24,1665527063.8974912,19200,0.3827947676181793,0.0,0.4784613847732544,0.0005174392135813832,-0.09618403762578964,,,,,,,,
25,1665527064.585382,20000,2.020448923110962,0.0,1.9794739484786987,0.1372547447681427,-0.09627993404865265,,,,,,,,
26,1665527064.983459,20800,-3.22224760055542,0.0,-3.133744239807129,0.007940681651234627,-0.09644407778978348,,,,,,,,
27,1665527065.543749,21600,3.586320161819458,0.0,3.4623446464538574,0.22041644155979156,-0.09644095599651337,,,,,,,,
28,1665527066.3014271,22400,-3.544415235519409,0.0,-3.4577651023864746,0.009756970219314098,-0.09640718996524811,,,,,,,,
29,1665527066.8695614,23200,0.8255071640014648,0.0,0.9205797910690308,0.001276287017390132,-0.09634894132614136,,,,,,,,
30,1665527067.4073155,24000,-0.6056038737297058,0.0,-0.5102064609527588,0.0010337707353755832,-0.0964311733841896,,,,,,,,
31,1665527067.9488127,24800,0.3483499586582184,0.0,0.4440258741378784,0.0006691564340144396,-0.09634505957365036,,,,,,,,
32,1665527068.4956625,25600,-0.64603590965271,0.0,-0.5508530735969543,0.0012186600361019373,-0.09640149027109146,,,,,,,,
33,1665527069.1273258,26400,3.9522480964660645,0.0,3.9275479316711426,0.12112955749034882,-0.09642945230007172,,,,,,,,
34,1665527069.6184733,27200,-7.763372421264648,0.0,-7.720053195953369,0.05308423191308975,-0.0964038297533989,,,,,,,,
35,1665527070.4270031,28000,3.4441983699798584,0.0,3.519932746887207,0.02108677849173546,-0.09682097285985947,,,,,,,,
36,1665527071.2198622,28800,-0.44684940576553345,0.0,-0.3571222126483917,0.0071504791267216206,-0.09687767177820206,,,,,,,,
37,1665527071.9059415,29600,-1.7824889421463013,0.0,-1.6889431476593018,0.0033942358568310738,-0.09694008529186249,,,,,,,,
38,1665527072.5229728,30400,0.6975902318954468,0.0,0.7935112714767456,0.0010449837427586317,-0.09696602076292038,,,,,,,,
39,1665527073.0665123,31200,-0.1668418049812317,0.0,-0.07023955881595612,0.0003289966844022274,-0.09693124890327454,,,,,,,,
40,1665527073.7131712,32000,8.654964447021484,0.0,8.232795715332031,0.5190845727920532,-0.09691638499498367,,,,,,,,
41,1665527074.312071,32800,-5.08075475692749,0.0,-5.003171443939209,0.01917809247970581,-0.09676119685173035,,,,,,,,
42,1665527074.8562572,33600,-0.055574607104063034,0.0,0.04019150882959366,0.0012259457726031542,-0.09699206054210663,,,,,,,,
43,1665527075.3902693,34400,1.5740363597869873,0.0,1.5638773441314697,0.10715209692716599,-0.09699314832687378,,,,,,,,
44,1665527075.753999,35200,-3.4620163440704346,0.0,-3.3743138313293457,0.009158624336123466,-0.09686115384101868,,,,,,,,
45,1665527076.1066794,36000,1.2762349843978882,0.0,1.370776891708374,0.0023683859035372734,-0.0969102680683136,,,,,,,,
46,1665527076.4598136,36800,-0.4931761622428894,0.0,-0.39708322286605835,0.0007759432774037123,-0.0968688577413559,,,,,,,,
